Equipo,Zona,Fuera,Bloqueado,Parado,Gol,Palo,TirosTotales,%Gol,%Fuera,%Bloqueado,%Palo,%Parado
Alaves,2,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Alaves,4,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Alaves,7,1,1,2,1,0,5,20.0,20.0,20.0,0.0,40.0
Alaves,8,4,6,7,0,0,17,0.0,23.53,35.29,0.0,41.18
Alaves,9,7,6,1,0,0,14,0.0,50.0,42.86,0.0,7.14
Alaves,10,0,1,1,0,0,2,0.0,0.0,50.0,0.0,50.0
Alaves,12,6,6,7,1,0,20,5.0,30.0,30.0,0.0,35.0
Alaves,13,19,5,6,9,2,41,21.95,46.34,12.2,4.88,14.63
Alaves,14,8,4,15,3,0,30,10.0,26.67,13.33,0.0,50.0
Alaves,17,3,0,3,1,0,7,14.29,42.86,0.0,0.0,42.86
Alaves,18,7,7,3,4,2,23,17.39,30.43,30.43,8.7,13.04
Alaves,19,3,2,2,0,0,7,0.0,42.86,28.57,0.0,28.57
Athletic Club,2,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Athletic Club,3,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Athletic Club,4,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Athletic Club,7,7,4,3,0,0,14,0.0,50.0,28.57,0.0,21.43
Athletic Club,8,13,9,7,0,0,29,0.0,44.83,31.03,0.0,24.14
Athletic Club,9,12,7,8,1,1,29,3.45,41.38,24.14,3.45,27.59
Athletic Club,11,2,0,3,0,0,5,0.0,40.0,0.0,0.0,60.0
Athletic Club,12,10,5,7,4,0,26,15.38,38.46,19.23,0.0,26.92
Athletic Club,13,14,7,19,7,2,49,14.29,28.57,14.29,4.08,38.78
Athletic Club,14,6,4,9,0,0,19,0.0,31.58,21.05,0.0,47.37
Athletic Club,16,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Athletic Club,17,4,7,6,2,0,19,10.53,21.05,36.84,0.0,31.58
Athletic Club,18,8,2,4,9,2,25,36.0,32.0,8.0,8.0,16.0
Athletic Club,19,8,2,5,0,1,16,0.0,50.0,12.5,6.25,31.25
Atletico Madrid,2,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Atletico Madrid,4,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Atletico Madrid,5,1,0,1,0,0,2,0.0,50.0,0.0,0.0,50.0
Atletico Madrid,7,7,7,5,1,0,20,5.0,35.0,35.0,0.0,25.0
Atletico Madrid,8,15,13,3,2,0,33,6.06,45.45,39.39,0.0,9.09
Atletico Madrid,9,6,7,8,1,0,22,4.55,27.27,31.82,0.0,36.36
Atletico Madrid,12,8,4,4,2,0,18,11.11,44.44,22.22,0.0,22.22
Atletico Madrid,13,28,14,17,10,0,69,14.49,40.58,20.29,0.0,24.64
Atletico Madrid,14,14,9,9,1,2,35,2.86,40.0,25.71,5.71,25.71
Atletico Madrid,17,6,4,5,2,2,19,10.53,31.58,21.05,10.53,26.32
Atletico Madrid,18,20,5,9,14,1,49,28.57,40.82,10.2,2.04,18.37
Atletico Madrid,19,3,2,2,2,0,9,22.22,33.33,22.22,0.0,22.22
Barcelona,1,1,0,1,0,0,2,0.0,50.0,0.0,0.0,50.0
Barcelona,3,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Barcelona,7,8,6,5,1,0,20,5.0,40.0,30.0,0.0,25.0
Barcelona,8,16,15,17,7,0,55,12.73,29.09,27.27,0.0,30.91
Barcelona,9,4,6,5,2,0,17,11.76,23.53,35.29,0.0,29.41
Barcelona,12,8,8,10,5,4,35,14.29,22.86,22.86,11.43,28.57
Barcelona,13,22,19,32,23,1,97,23.71,22.68,19.59,1.03,32.99
Barcelona,14,14,18,13,7,1,53,13.21,26.42,33.96,1.89,24.53
Barcelona,17,7,3,8,0,1,19,0.0,36.84,15.79,5.26,42.11
Barcelona,18,9,3,10,18,2,42,42.86,21.43,7.14,4.76,23.81
Barcelona,19,5,4,9,2,0,20,10.0,25.0,20.0,0.0,45.0
Celta Vigo,4,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Celta Vigo,5,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Celta Vigo,7,9,4,3,1,0,17,5.88,52.94,23.53,0.0,17.65
Celta Vigo,8,9,8,8,1,0,26,3.85,34.62,30.77,0.0,30.77
Celta Vigo,9,3,6,7,0,0,16,0.0,18.75,37.5,0.0,43.75
Celta Vigo,10,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Celta Vigo,12,7,13,13,2,0,35,5.71,20.0,37.14,0.0,37.14
Celta Vigo,13,21,12,14,7,0,54,12.96,38.89,22.22,0.0,25.93
Celta Vigo,14,8,6,11,2,0,27,7.41,29.63,22.22,0.0,40.74
Celta Vigo,15,0,0,0,1,0,1,100.0,0.0,0.0,0.0,0.0
Celta Vigo,17,5,0,5,2,0,12,16.67,41.67,0.0,0.0,41.67
Celta Vigo,18,9,3,4,5,0,21,23.81,42.86,14.29,0.0,19.05
Celta Vigo,19,4,2,6,0,0,12,0.0,33.33,16.67,0.0,50.0
Eibar,1,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Eibar,2,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Eibar,3,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Eibar,6,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Eibar,7,8,5,5,1,1,20,5.0,40.0,25.0,5.0,25.0
Eibar,8,11,12,13,1,0,37,2.7,29.73,32.43,0.0,35.14
Eibar,9,14,9,6,1,0,30,3.33,46.67,30.0,0.0,20.0
Eibar,10,0,1,1,0,0,2,0.0,0.0,50.0,0.0,50.0
Eibar,11,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Eibar,12,6,5,6,1,0,18,5.56,33.33,27.78,0.0,33.33
Eibar,13,22,11,14,6,0,53,11.32,41.51,20.75,0.0,26.42
Eibar,14,5,7,9,0,0,21,0.0,23.81,33.33,0.0,42.86
Eibar,17,4,3,5,2,0,14,14.29,28.57,21.43,0.0,35.71
Eibar,18,17,7,4,6,1,35,17.14,48.57,20.0,2.86,11.43
Eibar,19,2,1,1,1,1,6,16.67,33.33,16.67,16.67,16.67
Espanyol,1,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Espanyol,2,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Espanyol,3,3,0,0,0,0,3,0.0,100.0,0.0,0.0,0.0
Espanyol,4,4,0,0,0,0,4,0.0,100.0,0.0,0.0,0.0
Espanyol,7,14,8,6,1,0,29,3.45,48.28,27.59,0.0,20.69
Espanyol,8,6,8,6,0,0,20,0.0,30.0,40.0,0.0,30.0
Espanyol,9,10,7,8,0,1,26,0.0,38.46,26.92,3.85,30.77
Espanyol,10,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Espanyol,12,12,8,3,0,0,23,0.0,52.17,34.78,0.0,13.04
Espanyol,13,24,10,18,5,1,58,8.62,41.38,17.24,1.72,31.03
Espanyol,14,8,11,4,0,0,23,0.0,34.78,47.83,0.0,17.39
Espanyol,17,6,7,3,1,1,18,5.56,33.33,38.89,5.56,16.67
Espanyol,18,14,5,5,6,1,31,19.35,45.16,16.13,3.23,16.13
Espanyol,19,0,4,4,0,0,8,0.0,0.0,50.0,0.0,50.0
Getafe,1,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Getafe,2,1,1,1,0,0,3,0.0,33.33,33.33,0.0,33.33
Getafe,3,1,0,1,0,0,2,0.0,50.0,0.0,0.0,50.0
Getafe,4,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Getafe,6,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Getafe,7,9,5,5,0,0,19,0.0,47.37,26.32,0.0,26.32
Getafe,8,5,13,5,1,0,24,4.17,20.83,54.17,0.0,20.83
Getafe,9,8,5,4,0,1,18,0.0,44.44,27.78,5.56,22.22
Getafe,12,9,9,8,1,0,27,3.7,33.33,33.33,0.0,29.63
Getafe,13,31,6,17,7,1,62,11.29,50.0,9.68,1.61,27.42
Getafe,14,12,11,4,3,2,32,9.38,37.5,34.38,6.25,12.5
Getafe,15,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Getafe,17,3,1,3,1,0,8,12.5,37.5,12.5,0.0,37.5
Getafe,18,13,4,4,13,0,34,38.24,38.24,11.76,0.0,11.76
Getafe,19,3,0,7,1,2,13,7.69,23.08,0.0,15.38,53.85
Granada,2,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Granada,3,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Granada,4,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Granada,7,11,8,4,2,0,25,8.0,44.0,32.0,0.0,16.0
Granada,8,7,4,1,3,2,17,17.65,41.18,23.53,11.76,5.88
Granada,9,12,9,9,0,0,30,0.0,40.0,30.0,0.0,30.0
Granada,12,4,2,3,1,1,11,9.09,36.36,18.18,9.09,27.27
Granada,13,24,11,12,7,1,55,12.73,43.64,20.0,1.82,21.82
Granada,14,7,6,6,1,0,20,5.0,35.0,30.0,0.0,30.0
Granada,17,2,1,4,2,0,9,22.22,22.22,11.11,0.0,44.44
Granada,18,16,3,2,17,0,38,44.74,42.11,7.89,0.0,5.26
Granada,19,6,1,2,2,0,11,18.18,54.55,9.09,0.0,18.18
Leganes,3,0,1,1,0,0,2,0.0,0.0,50.0,0.0,50.0
Leganes,4,1,0,1,0,0,2,0.0,50.0,0.0,0.0,50.0
Leganes,6,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Leganes,7,6,9,6,1,0,22,4.55,27.27,40.91,0.0,27.27
Leganes,8,14,8,8,0,0,30,0.0,46.67,26.67,0.0,26.67
Leganes,9,10,4,9,3,0,26,11.54,38.46,15.38,0.0,34.62
Leganes,10,1,0,1,0,0,2,0.0,50.0,0.0,0.0,50.0
Leganes,12,12,9,7,2,0,30,6.67,40.0,30.0,0.0,23.33
Leganes,13,34,15,20,4,0,73,5.48,46.58,20.55,0.0,27.4
Leganes,14,11,6,11,3,0,31,9.68,35.48,19.35,0.0,35.48
Leganes,17,5,2,2,0,1,10,0.0,50.0,20.0,10.0,20.0
Leganes,18,4,3,11,4,1,23,17.39,17.39,13.04,4.35,47.83
Leganes,19,3,1,1,3,0,8,37.5,37.5,12.5,0.0,12.5
Levante,2,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Levante,3,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Levante,4,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Levante,5,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Levante,7,6,1,6,0,0,13,0.0,46.15,7.69,0.0,46.15
Levante,8,12,13,6,2,0,33,6.06,36.36,39.39,0.0,18.18
Levante,9,14,13,8,1,1,37,2.7,37.84,35.14,2.7,21.62
Levante,10,0,1,1,0,0,2,0.0,0.0,50.0,0.0,50.0
Levante,11,0,0,2,0,0,2,0.0,0.0,0.0,0.0,100.0
Levante,12,13,11,3,1,0,28,3.57,46.43,39.29,0.0,10.71
Levante,13,15,14,15,8,0,52,15.38,28.85,26.92,0.0,28.85
Levante,14,11,14,6,5,1,37,13.51,29.73,37.84,2.7,16.22
Levante,16,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Levante,17,7,4,4,1,0,16,6.25,43.75,25.0,0.0,25.0
Levante,18,8,3,11,14,0,36,38.89,22.22,8.33,0.0,30.56
Levante,19,8,4,4,1,0,17,5.88,47.06,23.53,0.0,23.53
Mallorca,3,1,0,1,0,0,2,0.0,50.0,0.0,0.0,50.0
Mallorca,7,5,6,10,0,0,21,0.0,23.81,28.57,0.0,47.62
Mallorca,8,10,9,6,3,1,29,10.34,34.48,31.03,3.45,20.69
Mallorca,9,20,8,6,0,1,35,0.0,57.14,22.86,2.86,17.14
Mallorca,10,1,1,0,0,0,2,0.0,50.0,50.0,0.0,0.0
Mallorca,12,15,7,8,1,0,31,3.23,48.39,22.58,0.0,25.81
Mallorca,13,12,15,17,8,1,53,15.09,22.64,28.3,1.89,32.08
Mallorca,14,9,16,4,6,1,36,16.67,25.0,44.44,2.78,11.11
Mallorca,17,3,3,2,0,0,8,0.0,37.5,37.5,0.0,25.0
Mallorca,18,15,3,5,8,1,32,25.0,46.88,9.38,3.12,15.62
Mallorca,19,2,1,2,0,0,5,0.0,40.0,20.0,0.0,40.0
Osasuna,1,2,0,1,0,0,3,0.0,66.67,0.0,0.0,33.33
Osasuna,2,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Osasuna,3,2,0,1,0,0,3,0.0,66.67,0.0,0.0,33.33
Osasuna,4,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Osasuna,6,1,1,1,0,0,3,0.0,33.33,33.33,0.0,33.33
Osasuna,7,14,7,7,0,1,29,0.0,48.28,24.14,3.45,24.14
Osasuna,8,15,8,8,4,1,36,11.11,41.67,22.22,2.78,22.22
Osasuna,9,12,4,4,0,0,20,0.0,60.0,20.0,0.0,20.0
Osasuna,11,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Osasuna,12,17,10,6,2,0,35,5.71,48.57,28.57,0.0,17.14
Osasuna,13,25,14,14,12,2,67,17.91,37.31,20.9,2.99,20.9
Osasuna,14,16,12,15,2,0,45,4.44,35.56,26.67,0.0,33.33
Osasuna,17,6,1,1,0,2,10,0.0,60.0,10.0,20.0,10.0
Osasuna,18,14,4,7,10,0,35,28.57,40.0,11.43,0.0,20.0
Osasuna,19,5,1,7,0,0,13,0.0,38.46,7.69,0.0,53.85
Real Betis,1,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Real Betis,2,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Real Betis,4,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Real Betis,7,10,8,7,1,1,27,3.7,37.04,29.63,3.7,25.93
Real Betis,8,11,12,4,1,1,29,3.45,37.93,41.38,3.45,13.79
Real Betis,9,9,14,9,1,1,34,2.94,26.47,41.18,2.94,26.47
Real Betis,12,16,9,7,1,0,33,3.03,48.48,27.27,0.0,21.21
Real Betis,13,18,10,10,10,3,51,19.61,35.29,19.61,5.88,19.61
Real Betis,14,17,21,23,5,0,66,7.58,25.76,31.82,0.0,34.85
Real Betis,17,5,4,6,0,0,15,0.0,33.33,26.67,0.0,40.0
Real Betis,18,9,5,6,10,1,31,32.26,29.03,16.13,3.23,19.35
Real Betis,19,10,3,7,0,0,20,0.0,50.0,15.0,0.0,35.0
Real Madrid,1,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Real Madrid,3,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Real Madrid,7,6,4,12,0,0,22,0.0,27.27,18.18,0.0,54.55
Real Madrid,8,25,11,12,4,2,54,7.41,46.3,20.37,3.7,22.22
Real Madrid,9,21,7,13,1,2,44,2.27,47.73,15.91,4.55,29.55
Real Madrid,12,3,9,12,4,0,28,14.29,10.71,32.14,0.0,42.86
Real Madrid,13,23,10,24,13,1,71,18.31,32.39,14.08,1.41,33.8
Real Madrid,14,21,14,23,6,1,65,9.23,32.31,21.54,1.54,35.38
Real Madrid,15,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Real Madrid,17,9,3,8,1,0,21,4.76,42.86,14.29,0.0,38.1
Real Madrid,18,16,5,10,15,1,47,31.91,34.04,10.64,2.13,21.28
Real Madrid,19,8,0,12,4,2,26,15.38,30.77,0.0,7.69,46.15
Real Sociedad,2,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Real Sociedad,3,0,0,0,0,1,1,0.0,0.0,0.0,100.0,0.0
Real Sociedad,5,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Real Sociedad,7,8,5,5,2,0,20,10.0,40.0,25.0,0.0,25.0
Real Sociedad,8,10,16,6,1,0,33,3.03,30.3,48.48,0.0,18.18
Real Sociedad,9,6,4,3,1,0,14,7.14,42.86,28.57,0.0,21.43
Real Sociedad,12,10,10,9,3,1,33,9.09,30.3,30.3,3.03,27.27
Real Sociedad,13,32,13,17,16,1,79,20.25,40.51,16.46,1.27,21.52
Real Sociedad,14,6,12,8,2,0,28,7.14,21.43,42.86,0.0,28.57
Real Sociedad,17,5,3,3,0,0,11,0.0,45.45,27.27,0.0,27.27
Real Sociedad,18,13,6,6,14,0,39,35.9,33.33,15.38,0.0,15.38
Real Sociedad,19,3,2,8,1,0,14,7.14,21.43,14.29,0.0,57.14
Real Valladolid,3,0,0,2,0,0,2,0.0,0.0,0.0,0.0,100.0
Real Valladolid,4,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Real Valladolid,6,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Real Valladolid,7,9,4,4,1,0,18,5.56,50.0,22.22,0.0,22.22
Real Valladolid,8,9,9,8,0,0,26,0.0,34.62,34.62,0.0,30.77
Real Valladolid,9,11,12,3,1,0,27,3.7,40.74,44.44,0.0,11.11
Real Valladolid,12,4,10,3,0,0,17,0.0,23.53,58.82,0.0,17.65
Real Valladolid,13,15,11,12,6,0,44,13.64,34.09,25.0,0.0,27.27
Real Valladolid,14,14,7,8,2,1,32,6.25,43.75,21.88,3.12,25.0
Real Valladolid,15,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Real Valladolid,17,5,2,1,0,0,8,0.0,62.5,25.0,0.0,12.5
Real Valladolid,18,11,3,1,7,1,23,30.43,47.83,13.04,4.35,4.35
Real Valladolid,19,2,2,9,1,0,14,7.14,14.29,14.29,0.0,64.29
Real Valladolid,20,0,0,0,1,0,1,100.0,0.0,0.0,0.0,0.0
Sevilla,2,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Sevilla,3,1,1,1,0,0,3,0.0,33.33,33.33,0.0,33.33
Sevilla,6,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Sevilla,7,6,3,4,2,1,16,12.5,37.5,18.75,6.25,25.0
Sevilla,8,9,12,9,1,0,31,3.23,29.03,38.71,0.0,29.03
Sevilla,9,7,6,9,1,2,25,4.0,28.0,24.0,8.0,36.0
Sevilla,10,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Sevilla,12,11,10,6,3,0,30,10.0,36.67,33.33,0.0,20.0
Sevilla,13,20,13,15,5,2,55,9.09,36.36,23.64,3.64,27.27
Sevilla,14,18,13,14,5,1,51,9.8,35.29,25.49,1.96,27.45
Sevilla,17,7,5,7,3,3,25,12.0,28.0,20.0,12.0,28.0
Sevilla,18,19,1,13,12,2,47,25.53,40.43,2.13,4.26,27.66
Sevilla,19,7,3,6,2,1,19,10.53,36.84,15.79,5.26,31.58
Valencia,2,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Valencia,6,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Valencia,7,6,8,6,1,0,21,4.76,28.57,38.1,0.0,28.57
Valencia,8,11,8,6,2,0,27,7.41,40.74,29.63,0.0,22.22
Valencia,9,3,6,4,1,0,14,7.14,21.43,42.86,0.0,28.57
Valencia,12,12,9,4,5,0,30,16.67,40.0,30.0,0.0,13.33
Valencia,13,21,9,11,7,1,49,14.29,42.86,18.37,2.04,22.45
Valencia,14,15,2,9,1,1,28,3.57,53.57,7.14,3.57,32.14
Valencia,17,4,1,2,0,1,8,0.0,50.0,12.5,12.5,25.0
Valencia,18,12,2,3,14,0,31,45.16,38.71,6.45,0.0,9.68
Valencia,19,1,0,1,1,0,3,33.33,33.33,0.0,0.0,33.33
Villarreal,2,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Villarreal,3,1,1,0,0,0,2,0.0,50.0,50.0,0.0,0.0
Villarreal,5,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Villarreal,6,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Villarreal,7,12,9,6,0,1,28,0.0,42.86,32.14,3.57,21.43
Villarreal,8,17,12,13,4,2,48,8.33,35.42,25.0,4.17,27.08
Villarreal,9,15,9,6,0,0,30,0.0,50.0,30.0,0.0,20.0
Villarreal,12,10,8,11,5,0,34,14.71,29.41,23.53,0.0,32.35
Villarreal,13,33,14,17,15,1,80,18.75,41.25,17.5,1.25,21.25
Villarreal,14,14,13,12,3,0,42,7.14,33.33,30.95,0.0,28.57
Villarreal,17,4,2,1,1,0,8,12.5,50.0,25.0,0.0,12.5
Villarreal,18,16,3,9,16,1,45,35.56,35.56,6.67,2.22,20.0
Villarreal,19,5,5,8,1,1,20,5.0,25.0,25.0,5.0,40.0
