Equipo,Zona,Resultado,Fuera,Bloqueado,Parado,Gol,Palo,TirosTotales,%Gol,%Fuera,%Bloqueado,%Palo,%Parado
Alaves,2,V,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Alaves,4,D,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Alaves,7,D,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Alaves,7,E,0,0,0,1,0,1,100.0,0.0,0.0,0.0,0.0
Alaves,7,V,0,1,2,0,0,3,0.0,0.0,33.33,0.0,66.67
Alaves,8,D,3,2,5,0,0,10,0.0,30.0,20.0,0.0,50.0
Alaves,8,E,0,4,2,0,0,6,0.0,0.0,66.67,0.0,33.33
Alaves,8,V,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Alaves,9,D,5,3,0,0,0,8,0.0,62.5,37.5,0.0,0.0
Alaves,9,E,1,2,0,0,0,3,0.0,33.33,66.67,0.0,0.0
Alaves,9,V,1,1,1,0,0,3,0.0,33.33,33.33,0.0,33.33
Alaves,10,D,0,1,1,0,0,2,0.0,0.0,50.0,0.0,50.0
Alaves,12,D,1,3,1,0,0,5,0.0,20.0,60.0,0.0,20.0
Alaves,12,E,3,2,1,1,0,7,14.29,42.86,28.57,0.0,14.29
Alaves,12,V,2,1,5,0,0,8,0.0,25.0,12.5,0.0,62.5
Alaves,13,D,11,2,1,3,0,17,17.65,64.71,11.76,0.0,5.88
Alaves,13,E,1,1,2,1,1,6,16.67,16.67,16.67,16.67,33.33
Alaves,13,V,7,2,3,5,1,18,27.78,38.89,11.11,5.56,16.67
Alaves,14,D,2,3,6,1,0,12,8.33,16.67,25.0,0.0,50.0
Alaves,14,E,2,0,3,0,0,5,0.0,40.0,0.0,0.0,60.0
Alaves,14,V,4,1,6,2,0,13,15.38,30.77,7.69,0.0,46.15
Alaves,17,D,2,0,2,1,0,5,20.0,40.0,0.0,0.0,40.0
Alaves,17,E,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Alaves,17,V,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Alaves,18,D,5,3,0,0,1,9,0.0,55.56,33.33,11.11,0.0
Alaves,18,E,0,3,0,1,0,4,25.0,0.0,75.0,0.0,0.0
Alaves,18,V,2,1,3,3,1,10,30.0,20.0,10.0,10.0,30.0
Alaves,19,D,2,0,1,0,0,3,0.0,66.67,0.0,0.0,33.33
Alaves,19,E,0,2,0,0,0,2,0.0,0.0,100.0,0.0,0.0
Alaves,19,V,1,0,1,0,0,2,0.0,50.0,0.0,0.0,50.0
Athletic Club,2,E,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Athletic Club,2,V,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Athletic Club,3,E,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Athletic Club,4,E,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Athletic Club,7,D,3,1,1,0,0,5,0.0,60.0,20.0,0.0,20.0
Athletic Club,7,E,2,2,2,0,0,6,0.0,33.33,33.33,0.0,33.33
Athletic Club,7,V,2,1,0,0,0,3,0.0,66.67,33.33,0.0,0.0
Athletic Club,8,D,4,3,2,0,0,9,0.0,44.44,33.33,0.0,22.22
Athletic Club,8,E,4,3,3,0,0,10,0.0,40.0,30.0,0.0,30.0
Athletic Club,8,V,5,3,2,0,0,10,0.0,50.0,30.0,0.0,20.0
Athletic Club,9,D,4,2,3,0,0,9,0.0,44.44,22.22,0.0,33.33
Athletic Club,9,E,4,1,1,0,0,6,0.0,66.67,16.67,0.0,16.67
Athletic Club,9,V,4,4,4,1,1,14,7.14,28.57,28.57,7.14,28.57
Athletic Club,11,D,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Athletic Club,11,E,0,0,2,0,0,2,0.0,0.0,0.0,0.0,100.0
Athletic Club,11,V,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Athletic Club,12,D,6,1,1,0,0,8,0.0,75.0,12.5,0.0,12.5
Athletic Club,12,E,2,2,2,1,0,7,14.29,28.57,28.57,0.0,28.57
Athletic Club,12,V,2,2,4,3,0,11,27.27,18.18,18.18,0.0,36.36
Athletic Club,13,D,7,1,6,0,2,16,0.0,43.75,6.25,12.5,37.5
Athletic Club,13,E,1,5,3,2,0,11,18.18,9.09,45.45,0.0,27.27
Athletic Club,13,V,6,1,10,5,0,22,22.73,27.27,4.55,0.0,45.45
Athletic Club,14,D,1,0,3,0,0,4,0.0,25.0,0.0,0.0,75.0
Athletic Club,14,E,2,1,2,0,0,5,0.0,40.0,20.0,0.0,40.0
Athletic Club,14,V,3,3,4,0,0,10,0.0,30.0,30.0,0.0,40.0
Athletic Club,16,E,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Athletic Club,17,D,3,0,1,2,0,6,33.33,50.0,0.0,0.0,16.67
Athletic Club,17,E,0,6,2,0,0,8,0.0,0.0,75.0,0.0,25.0
Athletic Club,17,V,1,1,3,0,0,5,0.0,20.0,20.0,0.0,60.0
Athletic Club,18,D,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Athletic Club,18,E,2,2,2,2,0,8,25.0,25.0,25.0,0.0,25.0
Athletic Club,18,V,6,0,1,7,2,16,43.75,37.5,0.0,12.5,6.25
Athletic Club,19,D,3,1,2,0,1,7,0.0,42.86,14.29,14.29,28.57
Athletic Club,19,E,3,0,1,0,0,4,0.0,75.0,0.0,0.0,25.0
Athletic Club,19,V,2,1,2,0,0,5,0.0,40.0,20.0,0.0,40.0
Atletico Madrid,2,V,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Atletico Madrid,4,V,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Atletico Madrid,5,E,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Atletico Madrid,5,V,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Atletico Madrid,7,D,1,2,1,0,0,4,0.0,25.0,50.0,0.0,25.0
Atletico Madrid,7,E,3,2,2,0,0,7,0.0,42.86,28.57,0.0,28.57
Atletico Madrid,7,V,3,3,2,1,0,9,11.11,33.33,33.33,0.0,22.22
Atletico Madrid,8,D,1,2,0,0,0,3,0.0,33.33,66.67,0.0,0.0
Atletico Madrid,8,E,5,5,1,1,0,12,8.33,41.67,41.67,0.0,8.33
Atletico Madrid,8,V,9,6,2,1,0,18,5.56,50.0,33.33,0.0,11.11
Atletico Madrid,9,D,1,1,0,0,0,2,0.0,50.0,50.0,0.0,0.0
Atletico Madrid,9,E,5,3,2,0,0,10,0.0,50.0,30.0,0.0,20.0
Atletico Madrid,9,V,0,3,6,1,0,10,10.0,0.0,30.0,0.0,60.0
Atletico Madrid,12,D,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Atletico Madrid,12,E,5,1,1,0,0,7,0.0,71.43,14.29,0.0,14.29
Atletico Madrid,12,V,2,3,3,2,0,10,20.0,20.0,30.0,0.0,30.0
Atletico Madrid,13,D,2,3,1,0,0,6,0.0,33.33,50.0,0.0,16.67
Atletico Madrid,13,E,12,3,4,2,0,21,9.52,57.14,14.29,0.0,19.05
Atletico Madrid,13,V,14,8,12,8,0,42,19.05,33.33,19.05,0.0,28.57
Atletico Madrid,14,D,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Atletico Madrid,14,E,7,6,4,1,1,19,5.26,36.84,31.58,5.26,21.05
Atletico Madrid,14,V,6,3,5,0,1,15,0.0,40.0,20.0,6.67,33.33
Atletico Madrid,17,D,0,2,1,0,1,4,0.0,0.0,50.0,25.0,25.0
Atletico Madrid,17,E,2,1,3,0,0,6,0.0,33.33,16.67,0.0,50.0
Atletico Madrid,17,V,4,1,1,2,1,9,22.22,44.44,11.11,11.11,11.11
Atletico Madrid,18,D,3,0,2,0,0,5,0.0,60.0,0.0,0.0,40.0
Atletico Madrid,18,E,10,4,3,4,1,22,18.18,45.45,18.18,4.55,13.64
Atletico Madrid,18,V,7,1,4,10,0,22,45.45,31.82,4.55,0.0,18.18
Atletico Madrid,19,E,2,1,1,1,0,5,20.0,40.0,20.0,0.0,20.0
Atletico Madrid,19,V,1,1,1,1,0,4,25.0,25.0,25.0,0.0,25.0
Barcelona,1,D,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Barcelona,1,V,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Barcelona,3,V,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Barcelona,7,D,0,1,1,0,0,2,0.0,0.0,50.0,0.0,50.0
Barcelona,7,E,2,2,2,0,0,6,0.0,33.33,33.33,0.0,33.33
Barcelona,7,V,6,3,2,1,0,12,8.33,50.0,25.0,0.0,16.67
Barcelona,8,D,1,3,2,0,0,6,0.0,16.67,50.0,0.0,33.33
Barcelona,8,E,7,1,2,0,0,10,0.0,70.0,10.0,0.0,20.0
Barcelona,8,V,8,11,13,7,0,39,17.95,20.51,28.21,0.0,33.33
Barcelona,9,D,1,2,0,0,0,3,0.0,33.33,66.67,0.0,0.0
Barcelona,9,E,1,0,2,0,0,3,0.0,33.33,0.0,0.0,66.67
Barcelona,9,V,2,4,3,2,0,11,18.18,18.18,36.36,0.0,27.27
Barcelona,12,D,0,2,3,0,0,5,0.0,0.0,40.0,0.0,60.0
Barcelona,12,E,0,3,1,0,1,5,0.0,0.0,60.0,20.0,20.0
Barcelona,12,V,8,3,6,5,3,25,20.0,32.0,12.0,12.0,24.0
Barcelona,13,D,2,7,3,0,0,12,0.0,16.67,58.33,0.0,25.0
Barcelona,13,E,2,3,4,4,1,14,28.57,14.29,21.43,7.14,28.57
Barcelona,13,V,18,9,25,19,0,71,26.76,25.35,12.68,0.0,35.21
Barcelona,14,D,6,2,2,0,1,11,0.0,54.55,18.18,9.09,18.18
Barcelona,14,E,1,6,1,1,0,9,11.11,11.11,66.67,0.0,11.11
Barcelona,14,V,7,10,10,6,0,33,18.18,21.21,30.3,0.0,30.3
Barcelona,17,D,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Barcelona,17,V,7,3,7,0,1,18,0.0,38.89,16.67,5.56,38.89
Barcelona,18,D,0,0,3,0,1,4,0.0,0.0,0.0,25.0,75.0
Barcelona,18,E,3,0,0,2,0,5,40.0,60.0,0.0,0.0,0.0
Barcelona,18,V,6,3,7,16,1,33,48.48,18.18,9.09,3.03,21.21
Barcelona,19,D,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Barcelona,19,E,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Barcelona,19,V,4,3,9,2,0,18,11.11,22.22,16.67,0.0,50.0
Celta Vigo,4,D,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Celta Vigo,5,E,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Celta Vigo,7,D,5,1,1,0,0,7,0.0,71.43,14.29,0.0,14.29
Celta Vigo,7,E,4,3,1,0,0,8,0.0,50.0,37.5,0.0,12.5
Celta Vigo,7,V,0,0,1,1,0,2,50.0,0.0,0.0,0.0,50.0
Celta Vigo,8,D,3,2,3,0,0,8,0.0,37.5,25.0,0.0,37.5
Celta Vigo,8,E,3,5,5,1,0,14,7.14,21.43,35.71,0.0,35.71
Celta Vigo,8,V,3,1,0,0,0,4,0.0,75.0,25.0,0.0,0.0
Celta Vigo,9,D,1,1,3,0,0,5,0.0,20.0,20.0,0.0,60.0
Celta Vigo,9,E,1,3,2,0,0,6,0.0,16.67,50.0,0.0,33.33
Celta Vigo,9,V,1,2,2,0,0,5,0.0,20.0,40.0,0.0,40.0
Celta Vigo,10,D,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Celta Vigo,12,D,4,5,5,1,0,15,6.67,26.67,33.33,0.0,33.33
Celta Vigo,12,E,2,6,6,1,0,15,6.67,13.33,40.0,0.0,40.0
Celta Vigo,12,V,1,2,2,0,0,5,0.0,20.0,40.0,0.0,40.0
Celta Vigo,13,D,6,5,5,0,0,16,0.0,37.5,31.25,0.0,31.25
Celta Vigo,13,E,12,4,7,5,0,28,17.86,42.86,14.29,0.0,25.0
Celta Vigo,13,V,3,3,2,2,0,10,20.0,30.0,30.0,0.0,20.0
Celta Vigo,14,D,5,2,3,0,0,10,0.0,50.0,20.0,0.0,30.0
Celta Vigo,14,E,2,1,4,0,0,7,0.0,28.57,14.29,0.0,57.14
Celta Vigo,14,V,1,3,4,2,0,10,20.0,10.0,30.0,0.0,40.0
Celta Vigo,15,D,0,0,0,1,0,1,100.0,0.0,0.0,0.0,0.0
Celta Vigo,17,D,3,0,1,1,0,5,20.0,60.0,0.0,0.0,20.0
Celta Vigo,17,E,1,0,4,0,0,5,0.0,20.0,0.0,0.0,80.0
Celta Vigo,17,V,1,0,0,1,0,2,50.0,50.0,0.0,0.0,0.0
Celta Vigo,18,D,3,2,1,1,0,7,14.29,42.86,28.57,0.0,14.29
Celta Vigo,18,E,2,1,3,2,0,8,25.0,25.0,12.5,0.0,37.5
Celta Vigo,18,V,4,0,0,2,0,6,33.33,66.67,0.0,0.0,0.0
Celta Vigo,19,D,2,0,1,0,0,3,0.0,66.67,0.0,0.0,33.33
Celta Vigo,19,E,1,1,5,0,0,7,0.0,14.29,14.29,0.0,71.43
Celta Vigo,19,V,1,1,0,0,0,2,0.0,50.0,50.0,0.0,0.0
Eibar,1,V,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Eibar,2,V,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Eibar,3,D,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Eibar,6,D,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Eibar,7,D,3,5,2,0,1,11,0.0,27.27,45.45,9.09,18.18
Eibar,7,E,1,0,1,0,0,2,0.0,50.0,0.0,0.0,50.0
Eibar,7,V,4,0,2,1,0,7,14.29,57.14,0.0,0.0,28.57
Eibar,8,D,6,7,6,1,0,20,5.0,30.0,35.0,0.0,30.0
Eibar,8,E,1,2,2,0,0,5,0.0,20.0,40.0,0.0,40.0
Eibar,8,V,4,3,5,0,0,12,0.0,33.33,25.0,0.0,41.67
Eibar,9,D,7,6,3,1,0,17,5.88,41.18,35.29,0.0,17.65
Eibar,9,E,3,1,1,0,0,5,0.0,60.0,20.0,0.0,20.0
Eibar,9,V,4,2,2,0,0,8,0.0,50.0,25.0,0.0,25.0
Eibar,10,D,0,1,0,0,0,1,0.0,0.0,100.0,0.0,0.0
Eibar,10,V,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Eibar,11,D,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Eibar,12,D,3,2,2,0,0,7,0.0,42.86,28.57,0.0,28.57
Eibar,12,V,3,3,4,1,0,11,9.09,27.27,27.27,0.0,36.36
Eibar,13,D,10,9,6,2,0,27,7.41,37.04,33.33,0.0,22.22
Eibar,13,E,5,1,4,0,0,10,0.0,50.0,10.0,0.0,40.0
Eibar,13,V,7,1,4,4,0,16,25.0,43.75,6.25,0.0,25.0
Eibar,14,D,4,2,5,0,0,11,0.0,36.36,18.18,0.0,45.45
Eibar,14,E,0,2,1,0,0,3,0.0,0.0,66.67,0.0,33.33
Eibar,14,V,1,3,3,0,0,7,0.0,14.29,42.86,0.0,42.86
Eibar,17,D,3,1,0,0,0,4,0.0,75.0,25.0,0.0,0.0
Eibar,17,E,0,2,1,0,0,3,0.0,0.0,66.67,0.0,33.33
Eibar,17,V,1,0,4,2,0,7,28.57,14.29,0.0,0.0,57.14
Eibar,18,D,5,4,2,1,0,12,8.33,41.67,33.33,0.0,16.67
Eibar,18,E,6,2,1,1,0,10,10.0,60.0,20.0,0.0,10.0
Eibar,18,V,6,1,1,4,1,13,30.77,46.15,7.69,7.69,7.69
Eibar,19,D,1,1,0,0,1,3,0.0,33.33,33.33,33.33,0.0
Eibar,19,E,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Eibar,19,V,1,0,0,1,0,2,50.0,50.0,0.0,0.0,0.0
Espanyol,1,D,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Espanyol,2,D,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Espanyol,3,D,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Espanyol,3,E,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Espanyol,4,D,3,0,0,0,0,3,0.0,100.0,0.0,0.0,0.0
Espanyol,4,E,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Espanyol,7,D,10,7,4,1,0,22,4.55,45.45,31.82,0.0,18.18
Espanyol,7,E,2,1,2,0,0,5,0.0,40.0,20.0,0.0,40.0
Espanyol,7,V,2,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0
Espanyol,8,D,2,4,4,0,0,10,0.0,20.0,40.0,0.0,40.0
Espanyol,8,E,2,2,1,0,0,5,0.0,40.0,40.0,0.0,20.0
Espanyol,8,V,2,2,1,0,0,5,0.0,40.0,40.0,0.0,20.0
Espanyol,9,D,6,7,5,0,1,19,0.0,31.58,36.84,5.26,26.32
Espanyol,9,E,0,0,1,0,0,1,0.0,0.0,0.0,0.0,100.0
Espanyol,9,V,4,0,2,0,0,6,0.0,66.67,0.0,0.0,33.33
Espanyol,10,D,1,0,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Espanyol,12,D,7,7,1,0,0,15,0.0,46.67,46.67,0.0,6.67
Espanyol,12,E,3,0,0,0,0,3,0.0,100.0,0.0,0.0,0.0
Espanyol,12,V,2,1,2,0,0,5,0.0,40.0,20.0,0.0,40.0
Espanyol,13,D,18,8,9,1,1,37,2.7,48.65,21.62,2.7,24.32
Espanyol,13,E,3,2,7,3,0,15,20.0,20.0,13.33,0.0,46.67
